"","sample.id","length","age","sex","maturity","ungutted","gutted","liver","gonad"
"524",406229,48,3,"Females","1",1184,962,62,NA
"525",202585,68,5,"Females","1",2522,2371,NA,NA
"526",156281,68,5,"Females","1",2678,2244,177,NA
"527",96377,41,2,"Males","1",606,555,19,NA
"528",95347,92,5,"Females","1",9760,8300,880,NA
"529",100577,95,8,"Males","2",10090,7810,NA,NA
"530",312680,59,5,"Males","2",2187,1900,101.9,123
"531",279457,30,3,"Females","1",237,220,1.3,NA
"532",161435,54,4,"Males","1",1445,NA,NA,NA
"533",415318,102,10,"Males","3",9040,6730,438,1442
"534",300582,63,5,"Males","1",2255,2008,57,NA
"535",159223,68,NA,NA,NA,3120,NA,NA,NA
"536",174171,76,4,"Males","2",4946,3966,156,369
"537",182250,72,7,NA,NA,3836,NA,NA,NA
"538",324875,67,5,"Males","2",3832,2957,447,47
"539",345653,55,4,"Males","1",1432,1328,23,NA
"540",101249,90,8,"Females","2",6445,5096,379,786
"541",412098,85,7,"Females","2",5696,4582,407,485
"542",220001,43,3,"Males","2",669,616,14,NA
"543",159211,57,NA,NA,NA,1738,NA,NA,NA
"544",365047,25,2,"Males","1",123,107,7,NA
"545",313194,84,7,"Males","4",7575,6455,464,NA
"546",280083,87,9,"Males","2",7215,5304,598,1124
"547",229505,52,4,"Males","1",1240,1062,84,NA
"548",326369,43,4,"Males","2",798,688,48,NA
"549",330972,37,3,"Males","1",405,357,9,NA
"550",155156,67,5,"Females","1",2507,2253,76,NA
"551",219586,57,NA,"Males","1",1409,1213,62,NA
"552",247400,59,4,"Females","1",1656,1453,58,NA
"553",173679,44,NA,"Males","1",504,444,13,NA
