WoRMS_AphiaID_Valid,ScientificName_WoRMS
274967,Argyropelecus olfersii
274967,Argyropelecus olfersii
127007,Argyrosomus regius
158326,Aristaeomorpha foliacea
240796,Aristaeopsis edwardsiana
107083,Aristeus antennatus
126109,Arnoglossus
127124,Arnoglossus imperialis
127126,Arnoglossus laterna
127127,Arnoglossus rueppelii
127128,Arnoglossus thori
127193,Artediellus atlanticus
127193,Artediellus atlanticus
127193,Artediellus atlanticus
103718,Ascidiella aspersa
103719,Ascidiella scabra
127259,Chelidonichthys cuculus
127263,Chelidonichthys obscurus
228,Astartidae
123776,Asterias rubens
123245,Astropecten
178646,Astropecten antillensis
123867,Astropecten irregularis
272030,Atherina presbyter
146524,Atrina fragilis
341410,Austrorossia
236487,Auxis rochei
126304,Avocettina infans
126228,Balistes
154721,Balistes capriscus
154721,Balistes capriscus
106920,Bathynectes
140596,Bathypolypus arcticus
127152,Bathysolea profundicola
126375,Belone belone
126667,Benthocometes robustus
127086,Benthodesmus elongatus
126394,Beryx decadactylus
126395,Beryx splendens
105,Bivalvia
125519,Blenniidae
125915,Blennius
126770,Parablennius gattorugine
126761,Blennius ocellaris
126768,Lipophrys pholis
154274,Blicca bjoerkna
127047,Boops boops
125576,Bothidae
126783,Brama brama
124373,Brissopsis lyrifera
126447,Brosme brosme
138865,Buccinum humphreysianum
138878,Buccinum undatum
126872,Buenia jeffreysii
126872,Buenia jeffreysii
126127,Buglossidium
127153,Buglossidium luteum
398381,Coelorinchus caelorhincus
107268,Calappa granulata
126789,Callanthias ruber
100946,Calliactis parasitica
125522,Callionymidae
125930,Callionymus
126792,Callionymus lyra
126793,Callionymus maculatus
126795,Callionymus reticulatus
141767,Calliostoma zizyphinum
107275,Cancer bellianus
107276,Cancer pagurus
125613,Caproidae
127419,Capros aper
110909,Carbasea
107381,Carcinus maenas
229,Cardiidae
138992,Acanthocardia echinata
127212,Careproctus reinhardti
225832,Caulibugula
126961,Centrolabrus exoletus
126831,Centrolophus niger
105901,Centrophorus squamosus
105906,Centroscyllium fabricii
105907,Centroscymnus coelolepis
105908,Centroselachus crepidater
11707,Cephalopoda
126835,Cepola macrophthalma
126835,Cepola macrophthalma
138998,Cerastoderma edule
126585,Ceratoscopelus maderensis
127338,Chauliodus sloani
293562,Cheilopogon pinnatibarbatus
127259,Chelidonichthys cuculus
127262,Chelidonichthys lucernus
127263,Chelidonichthys obscurus
126977,Chelon labrosus
105824,Chimaera monstrosa
127071,Chirolophis ascanii
126336,Chlorophthalmus agassizi
107642,Chlorotocus crassicornis
124257,Cidaris cidaris
126448,Ciliata mustela
126448,Ciliata mustela
126449,Ciliata septentrionalis
127130,Citharus linguatula
126417,Clupea harengus
125464,Clupeidae
138899,Colus gracilis
125624,Conger
126285,Conger conger
127178,Coregonus albula
127180,Coregonus lavaretus
158960,Coryphaenoides rupestris
107277,Corystes cassivelaunus 
125589,Cottidae
127235,Cottunculus microps
127196,Cottus gobio
107007,Crangon
107551,Crangon allmanni
107552,Crangon crangon
123336,Crossaster
126878,Crystallogobius linearis
126964,Ctenolabrus rupestris
274304,Microchirus (Microchirus) variegatus
125590,Cyclopteridae
127214,Cyclopterus lumpus
127425,Cyttopsis rosea
105910,Dalatias licha
105851,Dasyatis pastinaca
105903,Deania calcea
105903,Deania calcea
1130,Decapoda
126880,Deltentosteus quadrimaculatus
273962,Dentex (Dentex) dentex
273966,Dentex maroccanus
125819,Diaphus
126029,Dicentrarchus
126975,Dicentrarchus labrax
126976,Dicentrarchus punctatus
127154,Dicologlossa cuneata
236458,Diplecogaster bimaculata
127049,Diplodus annularis
127050,Diplodus bellottii
236470,Diplodus cervinus
127052,Diplodus puntazzo
223863,Diplodus sargus
127054,Diplodus vulgaris
105869,Dipturus batis
105870,Dipturus linteus
105872,Dipturus oxyrinchus
150630,Echiichthys vipera
123160,Echinidae
123426,Echinocardium
124392,Echinocardium cordatum
124394,Echinocardium flavescens
123082,Echinoidea
532031,Gracilechinus acutus 
124287,Echinus esculentus
126663,Echiodon drummondii
140600,Eledone cirrhosa
140601,Eledone moschata
125742,Enchelyopus
126450,Enchelyopus cimbrius
125724,Engraulis
126426,Engraulis encrasicolus
126426,Engraulis encrasicolus
138333,Ensis
127379,Entelurus aequoreus
127379,Entelurus aequoreus
127413,Ephippion guttifer
126857,Epigonus denticulatus
126858,Epigonus telescopus
126160,Liparis
154210,Esox lucius
105912,Etmopterus pusillus
105913,Etmopterus spinax
150637,Eutrigla gurnardus
126307,Facciolella oxyrhyncha
111367,Flustra foliacea
125731,Gadiculus
126435,Gadiculus argenteus
126436,Gadus morhua
126436,Gadus morhua
125743,Gaidropsarus
126451,Gaidropsarus argentatus
126452,Gaidropsarus biscayensis
126456,Gaidropsarus macrophthalmus
126456,Gaidropsarus macrophthalmus
126457,Gaidropsarus mediterraneus
126458,Gaidropsarus vulgaris
145739,Galaxaura rugosa
105820,Galeorhinus galeus
105812,Galeus melastomus
105813,Galeus murinus
125476,Gasterosteidae
10326,Gasterosteiformes
236462,Gasterosteus aculeatus
236462,Gasterosteus aculeatus aculeatus
236462,Gasterosteus aculeatus
293602,Gasterosteus aculeatus williamsoni
236462,Gasterosteus aculeatus
101,Gastropoda
218535,Gerres oyena
218535,Gerres oyena
107373,Geryon longipes
140025,Glycymeris glycymeris
127136,Glyptocephalus cynoglossus
125477,Gobiesocidae
125537,Gobiidae
125988,Gobius
126884,Gobius auratus
126886,Gobius cobitis
126890,Gobius gasteveni
126892,Gobius niger
126893,Gobius paganellus
126898,Gobiusculus flavescens
107292,Goneplax rhomboides
126189,Gonostoma
125601,Gonostomatidae
158978,Guttigadus latifrons
126754,Gymnammodytes semisquamatus
151302,Gymnocephalus cernuus
126489,Halargyreus johnsonii
127251,Helicolenus dactylopterus
123974,Henricia sanguinolenta
105833,Hexanchus griseus
124043,Hippasteria phrygiana
154776,Hippocampus guttulatus
127380,Hippocampus hippocampus
154776,Hippocampus guttulatus
127137,Hippoglossoides platessoides
127138,Hippoglossus hippoglossus
126386,Hirundichthys rondeletii
123083,Holothuroidea 
106862,Homarus
107253,Homarus gammarus
107262,Homola barbata
126402,Hoplostethus atlanticus
159409,Hoplostethus mediterraneus
107322,Hyas araneus
107323,Hyas coarctatus
105826,Hydrolagus mirabilis
158961,Hymenocephalus italicus 
125911,Hyperoplus
126755,Hyperoplus immaculatus
126756,Hyperoplus lanceolatus
127199,Icelus bicornis
140621,Illex coindetii
153087,Illex illecebrosus
107327,Inachus dorsettensis
125541,Labridae
126965,Labrus bergylta
151501,Labrus mixtus
151501,Labrus mixtus
139004,Laevicardium crassum
105841,Lamna nasus
125825,Lampanyctus
126612,Lampanyctus crocodilus
101167,Lampetra
101172,Lampetra fluviatilis
101174,Petromyzon marinus
126522,Lampris guttatus
125781,Lepadogaster
126518,Lepadogaster lepadogaster
733346,Lepas anatifera
126493,Lepidion eques
127088,Lepidopus caudatus
127145,Lepidorhombus boscii
127146,Lepidorhombus whiffiagonis
126179,Lepidotrigla
127191,Leptagonus decagonus
123222,Leptasterias
125158,Leptasterias (Leptasterias) muelleri
127072,Leptoclinus maculatus
125992,Lesueurigobius
126904,Lesueurigobius friesii
126906,Lesueurigobius sanzi
154599,Leuciscus leuciscus
105873,Leucoraja circularis
105874,Leucoraja fullonica
271564,Leucoraja lentiginosa
105876,Leucoraja naevus
127139,Limanda limanda
107388,Liocarcinus holsatus
126160,Liparis
293624,Liparis liparis
127220,Liparis montagui
107205,Lithodes maja
127055,Lithognathus mormyrus
126978,Liza aurata
126980,Liza ramada
126980,Liza ramada
11734,Loliginidae
138139,Loligo
416668,Loligo forbesii
416668,Loligo forbesi
153131,Loligo subulata
140271,Loligo vulgaris
125493,Lophiidae
125802,Lophius
126554,Lophius budegassa
126555,Lophius piscatorius
154388,Lota lota
123922,Luidia sarsi
154675,Lumpenus lampretaeformis
154675,Lumpenus lampretaeformis
140528,Lunatia catena
138157,Lutraria
127101,Lycenchelys sarsii
127101,Lycenchelys sarsii
126104,Lycodes
274100,Lycodes gracilis
127118,Lycodes vahlii
141579,Macoma balthica
126356,Macroparalepis affinis
126356,Macroparalepis affinis
107387,Liocarcinus depurator 
107388,Liocarcinus holsatus
107390,Liocarcinus marmoreus
107398,Necora puber
107397,Macropipus tuberculatus
205077,Macropodia
107343,Macropodia longirostris
126222,Macroramphosus
127378,Macroramphosus scolopax
127378,Macroramphosus scolopax
125471,Macrouridae
126472,Macrourus berglax
138158,Mactra
140299,Mactra stultorum
107347,Maja brachydactyla
106909,Maja
107347,Maja brachydactyla
107350,Maja squinado
272392,Malacocephalus laevis 
123803,Marthasterias glacialis
127312,Maurolicus muelleri
126437,Melanogrammus aeglefinus
246388,Melicertus kerathurus
126438,Merlangius merlangus
125473,Merlucciidae
126484,Merluccius merluccius
510545,Micrasterina
127201,Micrenophrys lilljeborgii
126129,Microchirus
274299,Microchirus azevia
274300,Microchirus boscanion
274302,Microchirus ocellatus
274304,Microchirus variegatus 
126439,Micromesistius poutassou
127140,Microstomus kitt
140467,Modiolus modiolus
127405,Mola mola
126459,Molva dypterygia
126460,Molva macrophthalma
126460,Molva macrophthalma
126461,Molva molva
127155,Monochirus hispidus
126497,Mora moro
126983,Mugil cephalus
125546,Mugilidae
125547,Mullidae
126034,Mullus
293632,Mullus barbatus
126986,Mullus surmuletus
106835,Munida
105732,Mustelus
105821,Mustelus asterias
105822,Mustelus mustelus
125498,Myctophidae
10309,Myctophiformes
125829,Myctophum
126627,Myctophum punctatum
105860,Myliobatis aquila
126152,Myoxocephalus
254529,Triglopsis quadricornis
127202,Myoxocephalus scorpioides
127203,Myoxocephalus scorpius
211,Mytilidae
140480,Mytilus edulis
140481,Mytilus galloprovincialis
101170,Myxine glutinosa
494117,Sepiola tridens
138240,Natica
126306,Nemichthys scolopaceus
126916,Neogobius melanostomus
