"whale.id","date.caught","lon","lat","area","length","weight","age","sex","maturity","stomach.volume","stomach.weight","year"
19212,"2005-07-24 11:00:00",-13.3398333333333,65.1436666666667,"North",737,NA,10.8,"Female","immature",50,23.786,2005
19213,"2005-08-04 14:00:00",-16.5455,63.731,"South",860,NA,29.6,"Female","pregnant",100,72.525,2005
20014,"2005-07-06 11:00:00",-22.711,66.0658333333333,"North",752,NA,10.8,"Female","pregnant",82,29.42,2005
20016,"2005-07-07 17:00:00",-23.515,66.28,"North",764,NA,18.6,"Male","pubertal",50,40.947,2005
20017,"2005-07-11 10:00:00",-20.9318333333333,66.728,"North",708,NA,7.4,"Male","mature",12,0.561,2005
20018,"2005-07-13 13:00:00",-20.4136666666667,66.1935,"North",599,NA,10.9,"Female","immature",20,1.733,2005
20251,"2005-07-21 09:00:00",-16.7041666666667,66.3221666666667,"North",730,NA,8,"Female","immature",30,0,2005
20252,"2005-07-22 19:00:00",-16.0453333333333,66.6008333333333,"North",682,NA,11.1,"Female","immature",33,4.681,2005
20253,"2005-08-08 17:00:00",-18.435,66.502,"North",725,NA,10.8,"Female","immature",3,1.265,2005
20254,"2005-08-10 16:00:00",-16.7856666666667,66.364,"North",474,NA,3.4,"Male","immature",20,15.415,2005
20255,"2005-08-17 06:00:00",-21.5476666666667,65.6775,"North",871,NA,10.5,"Female","pregnant",47,4.96,2005
20258,"2005-08-03 21:00:00",-16.5116666666667,63.7856666666667,"South",825,NA,NA,"Female","pregnant",NA,NA,2005
20260,"2005-08-06 06:00:00",-22.3656666666667,63.7956666666667,"South",740,3691,7.3,"Male",NA,115,12.172,2005
20261,"2005-08-09 21:00:00",-22.6978333333333,64.2926666666667,"South",853,NA,24.1,"Female","pregnant",32,0.46,2005
20262,"2005-08-13 09:00:00",-22.995,66.1475,"North",762,3528,14.5,"Female","anoestrous",44,12.6,2005
20263,"2005-08-15 09:00:00",-23.7528333333333,65.9466666666667,"North",788,NA,17.5,"Male","mature",0.5,0.455,2005
20418,"2005-07-06 09:00:00",-22.5668333333333,64.1803333333333,"South",705,2870,15.4,"Male","mature",7,1.01,2005
20419,"2005-07-13 23:00:00",-23.8741666666667,64.97,"South",775,5328,13.5,"Female","pregnant",8,3.074,2005
20421,"2005-07-19 17:00:00",-15.8633333333333,64.1285,"South",482,NA,3.6,"Male","immature",6,1.035,2005
20422,"2005-07-21 16:00:00",-18.5203333333333,63.3278333333333,"South",797,4848,21,"Male","mature",100,9.86,2005
20423,"2005-07-27 10:00:00",-22.946,63.8521666666667,"South",740,NA,29.5,"Male","mature",24,17.84,2005
20424,"2005-07-27 21:00:00",-22.98,64.4558333333333,"South",870,NA,47.4,"Male","mature",100,10.758,2005
20425,"2005-07-28 12:00:00",-23.5026666666667,64.0651666666667,"South",766,4260,19.3,"Male","mature",85,5.88,2005
20426,"2005-08-02 17:00:00",-22.6793333333333,64.5235,"South",720,3462,22.1,"Male","mature",17,1.758,2005
20427,"2005-08-03 15:00:00",-23.1401666666667,64.6293333333333,"South",566,1663,6.1,"Male","mature",28,5.14,2005
20428,"2005-08-03 18:00:00",-23.5745,64.656,"South",704,NA,20.8,"Male","mature",11,2.54,2005
20429,"2005-08-09 16:00:00",-22.8348333333333,64.2091666666667,"South",760,NA,33.2,"Male",NA,37,12.9662121212121,2005
20430,"2005-08-09 22:00:00",-22.536,64.2723333333333,"South",790,NA,21.6,"Male",NA,15,4.41,2005
20431,"2005-08-11 20:00:00",-23.7485,65.7713333333333,"North",820,5620,NA,"Female","pregnant",30,11.78,2005
20432,"2005-08-14 11:00:00",-24.105,65.6025,"North",790,NA,38,"Male",NA,137,7.868,2005
20922,"2006-06-17 20:00:00",-23.81,66.4468333333333,"North",775,NA,23.5,"Male","mature",45,58.1914848484848,2006
20923,"2006-08-11 15:00:00",-21.5268333333333,65.6856666666667,"North",606,NA,6.9,"Female","immature",30,9.076,2006
20924,"2006-08-09 09:00:00",-14.7933333333333,66.1416666666667,"North",794,NA,17.8,"Female","pregnant",75,5.136,2006
20925,"2006-07-26 11:00:00",-14.0083333333333,65.7033333333333,"North",819,NA,21.1,"Female","pregnant",35,7.45,2006
20926,"2006-07-20 17:00:00",-20.7333333333333,66.553,"North",761,NA,12.9,"Female","anoestrous",60,12.36,2006
20927,"2006-07-19 15:00:00",-19.1735,66.3,"North",461,NA,3.4,"Female","immature",4,2.5,2006
20928,"2006-07-18 08:00:00",-16.61,66.2883333333333,"North",803,NA,25.1,"Female",NA,105,9.094,2006
20929,"2006-06-27 11:00:00",-14.6133333333333,66.2196666666667,"North",804,NA,16,"Female","anoestrous",106,6.41,2006
20930,"2006-06-24 11:00:00",-15.8666666666667,66.5468333333333,"North",606,NA,7.3,"Male","mature",28,27.4229691876751,2006
20931,"2006-06-19 16:00:00",-20.9,66.205,"North",768,NA,25.7,"Male","mature",32,5.68,2006
